country_code,region,year,value,indicator_code,indicator_name
LBR,Africa,2011,328.0,MDG_0000000020,Tuberculosis Incidence
LUX,Europe,2024,7.5,MDG_0000000020,Tuberculosis Incidence
GTM,Americas,2004,29.0,MDG_0000000020,Tuberculosis Incidence
GUY,Americas,2020,59.0,MDG_0000000020,Tuberculosis Incidence
CHE,Europe,2016,8.0,MDG_0000000020,Tuberculosis Incidence
ITA,Europe,2024,5.0,MDG_0000000020,Tuberculosis Incidence
PLW,Western Pacific,2023,85.0,MDG_0000000020,Tuberculosis Incidence
BTN,South-East Asia,2008,393.0,MDG_0000000020,Tuberculosis Incidence
KOR,Western Pacific,2021,44.0,MDG_0000000020,Tuberculosis Incidence
LCA,Americas,2024,0.56,MDG_0000000020,Tuberculosis Incidence
SRB,Europe,2006,68.0,MDG_0000000020,Tuberculosis Incidence
GRC,Europe,2010,5.4,MDG_0000000020,Tuberculosis Incidence
URY,Americas,2014,33.0,MDG_0000000020,Tuberculosis Incidence
MUS,Africa,2015,16.0,MDG_0000000020,Tuberculosis Incidence
NPL,South-East Asia,2010,311.0,MDG_0000000020,Tuberculosis Incidence
MDG,Africa,2014,221.0,MDG_0000000020,Tuberculosis Incidence
BRN,Western Pacific,2008,92.0,MDG_0000000020,Tuberculosis Incidence
MAR,Eastern Mediterranean,2012,97.0,MDG_0000000020,Tuberculosis Incidence
GRD,Americas,2016,5.2,MDG_0000000020,Tuberculosis Incidence
KNA,Americas,2019,4.3,MDG_0000000020,Tuberculosis Incidence
AGO,Africa,2021,371.0,MDG_0000000020,Tuberculosis Incidence
GRC,Europe,2012,6.3,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2016,8.7,MDG_0000000020,Tuberculosis Incidence
GIN,Africa,2001,133.0,MDG_0000000020,Tuberculosis Incidence
LUX,Europe,2011,6.2,MDG_0000000020,Tuberculosis Incidence
BFA,Africa,2020,62.0,MDG_0000000020,Tuberculosis Incidence
AFG,Eastern Mediterranean,2016,204.0,MDG_0000000020,Tuberculosis Incidence
NIU,Western Pacific,2006,0.0,MDG_0000000020,Tuberculosis Incidence
GEO,Europe,2019,78.0,MDG_0000000020,Tuberculosis Incidence
RWA,Africa,2004,155.0,MDG_0000000020,Tuberculosis Incidence
UKR,Europe,2001,205.0,MDG_0000000020,Tuberculosis Incidence
CAF,Africa,2022,437.0,MDG_0000000020,Tuberculosis Incidence
DNK,Europe,2004,9.1,MDG_0000000020,Tuberculosis Incidence
BRA,Americas,2001,46.0,MDG_0000000020,Tuberculosis Incidence
MEX,Americas,2016,25.0,MDG_0000000020,Tuberculosis Incidence
LUX,Europe,2021,6.4,MDG_0000000020,Tuberculosis Incidence
PAK,Eastern Mediterranean,2016,268.0,MDG_0000000020,Tuberculosis Incidence
GNB,Africa,2008,282.0,MDG_0000000020,Tuberculosis Incidence
IRQ,Eastern Mediterranean,2011,42.0,MDG_0000000020,Tuberculosis Incidence
MLI,Africa,2009,75.0,MDG_0000000020,Tuberculosis Incidence
HND,Americas,2015,49.0,MDG_0000000020,Tuberculosis Incidence
JOR,Eastern Mediterranean,2013,6.4,MDG_0000000020,Tuberculosis Incidence
ALB,Europe,2003,20.0,MDG_0000000020,Tuberculosis Incidence
JOR,Eastern Mediterranean,2006,8.9,MDG_0000000020,Tuberculosis Incidence
WSM,Western Pacific,2002,17.0,MDG_0000000020,Tuberculosis Incidence
NRU,Western Pacific,2016,90.0,MDG_0000000020,Tuberculosis Incidence
HRV,Europe,2021,4.9,MDG_0000000020,Tuberculosis Incidence
BHR,Eastern Mediterranean,2013,24.0,MDG_0000000020,Tuberculosis Incidence
SLE,Africa,2012,474.0,MDG_0000000020,Tuberculosis Incidence
JAM,Americas,2023,4.3,MDG_0000000020,Tuberculosis Incidence
EST,Europe,2016,19.0,MDG_0000000020,Tuberculosis Incidence
COK,Western Pacific,2022,0.0,MDG_0000000020,Tuberculosis Incidence
ZAF,Africa,2020,562.0,MDG_0000000020,Tuberculosis Incidence
SAU,Eastern Mediterranean,2008,19.0,MDG_0000000020,Tuberculosis Incidence
PAN,Americas,2007,72.0,MDG_0000000020,Tuberculosis Incidence
TLS,South-East Asia,2011,621.0,MDG_0000000020,Tuberculosis Incidence
BGD,South-East Asia,2000,221.0,MDG_0000000020,Tuberculosis Incidence
LBR,Africa,2017,268.0,MDG_0000000020,Tuberculosis Incidence
BRB,Americas,2020,2.1,MDG_0000000020,Tuberculosis Incidence
KIR,Western Pacific,2016,1010.0,MDG_0000000020,Tuberculosis Incidence
BRA,Americas,2002,50.0,MDG_0000000020,Tuberculosis Incidence
CHN,Western Pacific,2007,85.0,MDG_0000000020,Tuberculosis Incidence
NLD,Europe,2013,5.6,MDG_0000000020,Tuberculosis Incidence
ESP,Europe,2003,33.0,MDG_0000000020,Tuberculosis Incidence
NIU,Western Pacific,2002,207.0,MDG_0000000020,Tuberculosis Incidence
BLZ,Americas,2022,35.0,MDG_0000000020,Tuberculosis Incidence
DOM,Americas,2009,70.0,MDG_0000000020,Tuberculosis Incidence
MDG,Africa,2015,219.0,MDG_0000000020,Tuberculosis Incidence
CHE,Europe,2010,8.0,MDG_0000000020,Tuberculosis Incidence
GRC,Europe,2009,6.7,MDG_0000000020,Tuberculosis Incidence
SOM,Eastern Mediterranean,2016,184.0,MDG_0000000020,Tuberculosis Incidence
LBY,Eastern Mediterranean,2006,63.0,MDG_0000000020,Tuberculosis Incidence
MOZ,Africa,2018,361.0,MDG_0000000020,Tuberculosis Incidence
LVA,Europe,2001,193.0,MDG_0000000020,Tuberculosis Incidence
MCO,Europe,2022,0.91,MDG_0000000020,Tuberculosis Incidence
GTM,Americas,2022,26.0,MDG_0000000020,Tuberculosis Incidence
ISL,Europe,2005,3.4,MDG_0000000020,Tuberculosis Incidence
TGO,Africa,2000,51.0,MDG_0000000020,Tuberculosis Incidence
ETH,Africa,2012,238.0,MDG_0000000020,Tuberculosis Incidence
ISR,Europe,2003,9.9,MDG_0000000020,Tuberculosis Incidence
ISR,Europe,2016,3.7,MDG_0000000020,Tuberculosis Incidence
GBR,Europe,2022,7.8,MDG_0000000020,Tuberculosis Incidence
AFG,Eastern Mediterranean,2011,204.0,MDG_0000000020,Tuberculosis Incidence
RUS,Europe,2008,90.0,MDG_0000000020,Tuberculosis Incidence
GTM,Americas,2007,26.0,MDG_0000000020,Tuberculosis Incidence
NGA,Africa,2018,219.0,MDG_0000000020,Tuberculosis Incidence
KHM,Western Pacific,2000,853.0,MDG_0000000020,Tuberculosis Incidence
BGD,South-East Asia,2014,221.0,MDG_0000000020,Tuberculosis Incidence
LBN,Eastern Mediterranean,2017,14.0,MDG_0000000020,Tuberculosis Incidence
JOR,Eastern Mediterranean,2023,3.3,MDG_0000000020,Tuberculosis Incidence
NOR,Europe,2015,6.4,MDG_0000000020,Tuberculosis Incidence
JPN,Western Pacific,2012,20.0,MDG_0000000020,Tuberculosis Incidence
SLE,Africa,2008,514.0,MDG_0000000020,Tuberculosis Incidence
LBN,Eastern Mediterranean,2000,28.0,MDG_0000000020,Tuberculosis Incidence
AGO,Africa,2012,458.0,MDG_0000000020,Tuberculosis Incidence
LKA,South-East Asia,2020,55.0,MDG_0000000020,Tuberculosis Incidence
AGO,Africa,2005,491.0,MDG_0000000020,Tuberculosis Incidence
BIH,Europe,2020,25.0,MDG_0000000020,Tuberculosis Incidence
PSE,Eastern Mediterranean,2018,0.91,MDG_0000000020,Tuberculosis Incidence
BRB,Americas,2000,1.1,MDG_0000000020,Tuberculosis Incidence
GAB,Africa,2006,387.0,MDG_0000000020,Tuberculosis Incidence
LCA,Americas,2023,1.1,MDG_0000000020,Tuberculosis Incidence
STP,Africa,2018,123.0,MDG_0000000020,Tuberculosis Incidence
AND,Europe,2014,8.1,MDG_0000000020,Tuberculosis Incidence
TJK,Europe,2000,140.0,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2015,8.4,MDG_0000000020,Tuberculosis Incidence
COG,Africa,2006,470.0,MDG_0000000020,Tuberculosis Incidence
POL,Europe,2019,16.0,MDG_0000000020,Tuberculosis Incidence
LBY,Eastern Mediterranean,2016,32.0,MDG_0000000020,Tuberculosis Incidence
CRI,Americas,2022,9.8,MDG_0000000020,Tuberculosis Incidence
